hashtag,index,abstract,raw_labels,abstract_df_idx,emoji_s,count
松井珠理奈毕业,7818,导语：前SKE48成员松井珠理奈11日举行毕业演唱会，途中她还剪了短发。,"[1, 0, 4]",4963,"(1, 0, 4, 11, 9, 13, 5, 17, 7, 3, 8, 22, 16)","(516, 464, 129, 18, 13, 9, 7, 6, 3, 2, 1, 1, 1)"
瑞幸咖啡仍在快速开店,9833,导语：瑞幸咖啡仍在快速开店，据彭博社消息，数据显示，截至5月12日，瑞幸二季度平均每天开10家门店，你现在还在喝瑞幸的饮品吗？,"[5, 1, 2]",4964,"(5, 1, 2, 6, 8, 3, 9, 0, 20, 10, 23, 17, 18, 14, 19, 21, 22, 11, 15, 16, 12)","(2539, 558, 266, 160, 119, 93, 60, 56, 20, 19, 19, 14, 12, 8, 7, 6, 6, 5, 5, 5, 4)"
eStar战胜FPX,535,导语：刚进入LPL新星，由pdd打造的战队eStar于1月17日战胜S9世界冠军FPX,"[2, 1, 14]",4965,"(2, 1, 14, 23, 5, 10, 18, 12, 17, 15, 8, 16, 7, 3, 6, 22, 21, 19, 0, 20, 11, 4, 13)","(151, 23, 15, 13, 10, 10, 9, 9, 9, 8, 7, 6, 5, 4, 4, 3, 2, 2, 2, 2, 1, 1, 1)"
乘客收到噩耗航班紧急滑回,1583,导语：8日，杭州萧山机场一航班在滑行中紧急返回。据了解，是机上一对老夫妻收到亲人去世的消息，要下机改签航班。机组征得多方同意后返回，并广播通知乘客缘由。将老人送下飞机后，该航班在延误50分钟后起飞。,"[1, 0, 6]",4966,"(1, 0, 6, 17, 9, 19, 22, 3, 14, 21, 23, 10, 16, 11, 15, 5, 8, 4, 2, 20, 12, 13, 18, 7)","(1111, 1031, 171, 33, 29, 23, 21, 19, 12, 11, 9, 8, 8, 5, 5, 5, 4, 4, 4, 3, 2, 2, 1, 1)"
云南怒江首次拍摄到黑颈鹤,1630,导语：近日，高黎贡山国家级自然保护区的科研人员拍摄到一只黑颈鹤在田间漫步。,"[0, 13, 5]",4967,"(0, 5, 13, 3, 8, 7, 6, 2, 12, 18)","(231, 7, 7, 6, 4, 4, 4, 3, 2, 1)"
蔡徐坤指导张钰,11502,导语：蔡徐坤为了让张钰能有更好的舞台表现力，细心到的从眼神到肢体动作一一指导，不愧是坤制作人！,"[7, 5, 0]",4968,"(7, 5, 0, 4, 1, 20, 13, 10, 17, 9, 6, 2, 19, 16, 18, 11, 3, 23, 14, 8, 21, 22, 15, 12)","(6932, 1271, 811, 707, 135, 95, 66, 37, 24, 21, 11, 9, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 1, 1)"
郑爽唱追光者,12427,导语：郑爽分享了一段演唱《追光者》的视频送给粉丝，人美声甜。,"[0, 1, 7]",4969,"(0, 1, 7, 17, 4, 11, 6, 19, 8, 2, 10, 14, 3, 5, 9, 21, 13, 18, 20, 22, 15, 12, 23, 16)","(6779, 786, 154, 76, 62, 20, 20, 13, 7, 7, 6, 6, 5, 4, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1)"
微信回应发原图泄露位置信息,6017,导语：近日有消息称，在微信发照片时选择发送原图或泄露位置信息。对此，腾讯微信团队回应：朋友圈发送的照片都经过系统自动压缩，不带位置等信息。实在担心的话，可以避免发原图，或者关闭定位。还有一招绝杀，P完图再发,"[9, 8, 4]",4970,"(9, 8, 4, 17, 20, 5, 10, 13, 14, 3, 2, 22, 15, 6, 12, 11, 7, 1, 0, 16)","(23, 15, 12, 9, 8, 7, 7, 7, 7, 6, 6, 5, 4, 3, 3, 1, 1, 1, 1, 1)"
QGhappy三连败,742,导语：QGhappy三连败，一路走来，你有什么想说的，分享下,"[5, 4, 1]",4971,"(5, 4, 1, 18, 3, 11, 9, 22, 12, 17, 13, 2, 16, 19, 21, 7, 6, 0)","(171, 83, 30, 29, 26, 20, 18, 10, 9, 9, 7, 5, 5, 3, 2, 1, 1, 1)"
高校教师线上教学计入教学工作量,13490,导语：日前，教育部印发《关于在疫情防控期间做好普通高等学校在线教学组织与管理工作的指导意见》，《指导意见》要求，高校要将慕课教师以及承担教学任务的所有任课教师线上教学计入教学工作量。,"[3, 5, 2]",4972,"(3, 5, 2, 0, 16, 1, 11, 12, 21, 13, 23, 9, 17, 18, 6, 8, 4, 19, 20, 7, 14, 22, 10)","(195, 73, 56, 54, 29, 21, 20, 18, 9, 7, 7, 6, 6, 5, 5, 4, 3, 3, 3, 2, 2, 1, 1)"
空中云赏300亩梅花,10343,导语：春风紧，梅瓣轻。这两天，江苏句容天王镇唐陵村300多亩梅花如画般盛开。,"[0, 7, 16]",4973,"(0, 7, 16, 8, 12, 10, 2, 6, 23, 11, 20, 13, 4, 18, 21, 22)","(174, 71, 10, 9, 9, 9, 8, 8, 7, 4, 4, 3, 2, 1, 1, 1)"
朱一龙吃热干面,7412,导语：4月8日是武汉正式解封的日子，湖北籍演员朱一龙在绿洲晒出吃热干面的照片庆祝。,"[0, 7, 1]",4974,"(0, 7, 1, 17, 5, 6, 3, 10, 8, 18, 14, 2, 4, 11, 9, 21, 22, 13, 20, 15, 19, 23, 16, 12)","(17031, 1804, 504, 243, 112, 65, 50, 45, 22, 21, 21, 17, 6, 5, 5, 3, 3, 3, 3, 2, 2, 2, 2, 1)"
张家界心形湖泊,5695,导语：在张家界岩河风景区内，有这样一面心形湖泊，当地人称它“天使之泪”。湖的四周峭壁环绕，属于喀斯特地貌。由于地形险峻，这里很少有人踏足，一直保持着原始生态面貌。,"[7, 0, 1]",4975,"(7, 0, 1, 2, 5, 10, 9, 3, 8, 4, 15, 23, 20, 14, 12, 16, 18, 19, 17)","(699, 73, 59, 22, 18, 18, 15, 14, 9, 9, 7, 7, 7, 6, 3, 3, 2, 2, 2)"
宋仁宗夸曹皇后好看,4897,导语：《清平乐》官家彩虹屁时间到！今日份的撩人语录你学会了嘛,"[0, 1, 7]",4976,"(0, 1, 7, 8, 2, 3, 6, 17, 4, 9, 22, 15, 13, 16, 5, 19, 14, 20, 23, 12, 10, 18, 11)","(1287, 240, 97, 92, 60, 41, 34, 23, 21, 18, 16, 16, 16, 14, 13, 11, 11, 11, 10, 8, 7, 5, 1)"
美国科罗拉多州修改病死统计标准,10818,导语：现在，该州卫生部列出，1150名科罗拉多居民“在死亡时感染了新冠病毒”，但其中只有878人是“死于感染新冠病毒”。,"[2, 6]",4977,"(2, 1, 6, 5, 12, 20, 17, 22, 7, 19, 13, 8, 9)","(38, 18, 18, 6, 6, 5, 4, 3, 2, 2, 2, 1, 1)"
31省区市新增66例无症状感染者,251,导语：4月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者66例，其中境外输入无症状感染者3例；当日转为确诊病例10例（境外输入6例）。 ​,"[12, 13, 21]",4978,"(12, 21, 13, 15, 2, 4, 7, 16, 14, 18, 19, 11)","(98, 11, 11, 10, 8, 7, 4, 3, 3, 2, 2, 1)"
生活中突然崩溃的经历,9881,导语：生活中你突然崩溃的经历有哪些？带上话题发微博参与讨论吧,"[4, 12, 3]",4979,"(4, 12, 3, 11, 22, 6, 16, 0, 10, 8, 19, 17, 2, 5, 20, 18, 9, 23, 14, 15, 7)","(502, 48, 28, 27, 23, 22, 21, 15, 14, 12, 12, 11, 9, 9, 8, 7, 5, 4, 4, 2, 1)"
被朋友放在心上的感觉真好,11635,导语：被朋友放在心上是种什么样的体验，有被朋友感动到的一瞬间吗！带上话题一起讨论吧～,"[0, 20, 4]",4980,"(0, 20, 4, 2, 1, 18, 17, 3, 13, 23, 12, 7, 8, 16)","(1182, 71, 36, 27, 20, 16, 13, 7, 7, 7, 6, 5, 3, 2)"
300万法拉利360度漂移后100万没了,231,导语：4月13日，苏州张家港，一辆未上牌的法拉利跑车卡上马路牙子，底盘严重损坏。民警调监控发现，事发前男子王某驾驶该车高速超车时失控，发生360度大漂移，并撞向绿化带。该车价值300万元，是王某租来谈生意的。经鉴定，修车费高达100余万。,"[2, 3, 8]",4981,"(2, 3, 8, 18, 15, 13, 10, 1, 9, 7, 22, 17, 5, 23, 14, 16, 4, 21, 19, 6, 0)","(487, 92, 47, 44, 39, 27, 15, 14, 9, 9, 9, 7, 6, 5, 5, 3, 1, 1, 1, 1, 1)"
郴州市北湖区团委书记被免职,12506,导语：4月7日，湖南郴州被女企业家举报的团委书记楚挺征已免职。,"[6, 19, 1]",4982,"(6, 19, 1, 10, 11, 2, 14, 21, 15, 0, 12, 17, 7, 23, 20, 9, 13, 3, 18, 8, 22, 16)","(1340, 48, 42, 23, 14, 13, 9, 8, 8, 7, 7, 7, 5, 5, 5, 3, 3, 2, 1, 1, 1, 1)"
除夕夜空军3架运输机飞抵武汉,12993,导语：据空军发布：1月24日22时20分，空军1架伊尔-76飞机从西安咸阳机场紧急起飞，运载空军军医大学143名医护人员飞赴武汉，支援湖北地区防控新型冠状病毒感染的肺炎疫情。空军航空兵某师派出3架军用运输机，连夜分赴上海、西安、重庆执行医疗队员和医疗物资器材紧急空运任务。,"[5, 0, 4]",4983,"(5, 0, 4, 14, 10, 17, 20, 16, 11, 3, 22, 8, 12, 9, 15, 21, 1, 19, 2, 7, 13, 18, 6, 23)","(2108, 451, 255, 59, 35, 25, 22, 20, 19, 19, 19, 16, 16, 15, 15, 13, 13, 13, 12, 10, 10, 8, 8, 2)"
航空公司回应80名韩国人到成都,11165,导语：韩亚航空相关负责人回应称，韩亚航空的一个航班将到达成都，韩国籍旅客有80人左右。。登机前每名旅客及机组人员都测了体温.,"[6, 11, 1]",4984,"(6, 11, 1, 12, 13, 16, 2, 19, 22, 10, 4, 0, 18, 15, 14, 9, 3, 23, 17)","(8207, 551, 506, 43, 12, 11, 9, 8, 5, 5, 3, 3, 2, 2, 2, 1, 1, 1, 1)"
佐藤健 帅,1917,导语：日剧 将恋爱进行到底，砂糖用脸鲨人，看过的人，谁能不感叹一个帅字！,"[5, 4, 0]",4985,"(5, 4, 0, 7, 11, 2, 6, 3, 1, 9)","(93, 38, 28, 15, 8, 8, 7, 5, 2, 1)"
可达鸭卫衣帽,3347,导语：萌萌的可达鸭你们喜欢吗哈哈？！反正我是爱了爱了~~,"[1, 7, 6]",4986,"(1, 7, 6, 0, 9, 8, 10, 2, 18, 19, 21, 22, 20, 3, 23, 11, 14, 17, 4)","(1798, 310, 43, 39, 36, 24, 22, 19, 15, 15, 10, 10, 9, 8, 8, 6, 4, 4, 1)"
海南电网3年建3000个鸟窝,8853,导语：海南电网公司发布一篇文章，称3年内为鸟类搭建了三千套“安置房”。,"[5, 0, 7]",4987,"(5, 0, 7, 2, 8, 1, 3, 6, 20, 23, 9, 19, 17, 18, 22, 13, 11, 4, 12)","(1173, 117, 41, 31, 20, 19, 17, 13, 12, 11, 10, 8, 8, 2, 2, 2, 1, 1, 1)"
一颗菠萝蛋糕,892,导语：带话题#一颗菠萝蛋糕#一起来分享你喜欢的创意蛋糕和甜品吧！！！,"[1, 7, 2]",4988,"(1, 7, 2, 9, 22, 8, 3, 21, 14, 19, 16, 5, 11, 4, 10, 17, 6, 12, 18, 13, 15, 0, 23)","(1870, 464, 132, 32, 23, 22, 20, 20, 19, 18, 16, 15, 12, 9, 9, 9, 8, 8, 6, 6, 4, 4, 1)"
日本医院6000个口罩被盗,6995,导语：2月18日，日本神户红十字医院上报6000个口罩被盗，失窃的为120盒医用外科口罩，价格约40000日元（约合人民币2550元）。受新冠肺炎疫情影响，日本口罩销量直线上升。警方已将本案定为盗窃案，嫌犯或为盈利目的偷窃。,"[6, 1, 8]",4989,"(6, 1, 8, 2, 9, 12, 4, 18, 21, 3, 10, 7, 13, 19, 15, 5, 11, 0, 16, 17, 20, 22, 14, 23)","(3934, 401, 103, 76, 56, 49, 36, 35, 32, 29, 23, 20, 19, 17, 15, 12, 10, 9, 9, 9, 9, 8, 8, 7)"
贵州发生煤矿事故14人死亡,11963,导语：经初步核实，当班井下作业人员23人，7人安全升井。截至9时，经全力搜救，14人死亡，2人被困，救援正在进行！,"[10, 4, 0]",4990,"(10, 4, 0, 6, 12, 21, 16)","(344, 37, 9, 8, 6, 2, 2)"
肖战喜欢的大老鼠是竹鼠,11019,导语：肖战在绿洲公布了自己喜欢的大老鼠是什么，他发文写道“破案了！是竹鼠！”还配上了两张表情包，也太可爱了！,"[8, 0, 3]",4991,"(8, 0, 3, 1, 7, 17, 2, 10, 9, 11, 16, 18, 15, 19, 6, 13, 20, 14, 5, 12, 23, 4, 22, 21)","(427, 145, 135, 33, 29, 20, 17, 17, 16, 14, 12, 9, 9, 9, 9, 9, 9, 8, 7, 7, 7, 6, 6, 4)"
12岁少年救了整楼居民,35,导语：天然气泄漏，12岁少年深夜挨家敲门，救了整楼居民。,"[5, 14, 0]",4992,"(5, 14, 0, 17, 21, 18, 10, 16, 2, 9, 19, 20, 13, 6, 7, 1, 3, 8, 4)","(2356, 549, 45, 21, 12, 9, 9, 9, 7, 6, 6, 6, 5, 4, 3, 3, 2, 1, 1)"
印度发明3米长摩托车,3182,导语：据外媒4月30日报道，新冠疫情期间，印度机械师Saha发明了“远距摩托车”。,"[2, 1, 3]",4993,"(2, 1, 3, 5, 8, 16, 17, 14, 18, 9, 11, 19, 23, 13, 22, 6, 0)","(381, 94, 80, 27, 18, 14, 9, 8, 7, 7, 6, 4, 4, 3, 2, 2, 1)"
广东人的亲切称呼体,5432,导语：大家来参与话题#广东人的亲切称呼体#说一说吧！！！,"[2, 3, 8]",4994,"(2, 3, 8, 1, 0, 22, 10, 18, 6, 11, 20, 7, 17, 21, 14, 9, 4, 19, 5)","(883, 210, 78, 33, 15, 13, 13, 10, 10, 9, 9, 8, 8, 7, 6, 5, 5, 4, 4)"
疫情1周或10天左右达到高峰,10017,导语：钟南山：10到14天是一个很好的隔离观察期，潜伏期过去了，发病的及时治疗，没发病也就没病，所以#不会因春运返程出现大传染#，但排查的措施不能停。,"[0, 4, 5]",4995,"(0, 4, 5, 17, 13, 14, 12, 7, 3, 11, 6, 16, 22, 18, 8, 9, 1, 10, 20, 19, 2, 21, 23, 15)","(2494, 349, 244, 77, 64, 41, 39, 38, 32, 31, 29, 29, 28, 22, 22, 22, 22, 21, 21, 19, 15, 14, 10, 4)"
国乒提前包揽女单四强,3887,导语：北京时间2月1日，2020年国际乒联德国公开赛女单1/4决赛，随着丁宁4-1战胜伊藤美诚，国乒也提前包揽了本次比赛女单四强。,"[5, 13, 0]",4996,"(5, 13, 0, 2, 14, 11, 10, 17, 6, 7, 23)","(1088, 86, 48, 26, 8, 6, 5, 5, 4, 1, 1)"
库克认为中国开始控制住新冠病毒,5558,导语：当地时间2月27日，苹果CEO官蒂姆·库克谈到新冠病毒对苹果业务的影响。 库克说，他认为中国已开始控制住新型冠状病毒。,"[19, 5, 2]",4997,"(19, 5, 2, 1, 9, 11, 0, 14, 3, 6, 18, 10, 8, 23, 16, 13, 20, 21, 4, 7, 22, 15, 12, 17)","(1181, 261, 221, 181, 123, 56, 41, 33, 27, 27, 21, 18, 15, 15, 14, 13, 13, 11, 10, 8, 8, 8, 8, 3)"
作业没做完丢掉书包被民警找回,1949,导语：小林今年上五年级，因假期贪玩作业没写完，便在候车时趁母亲不注意，把书包丢掉。其母发现后报警求助，民警帮忙寻回书包。,"[2, 3, 8]",4998,"(2, 3, 8, 12, 5, 13, 4, 16, 7, 19, 18, 9, 21, 15, 17, 0, 11, 6, 22, 10, 14)","(3594, 976, 494, 68, 54, 51, 30, 22, 16, 13, 9, 8, 7, 7, 7, 5, 4, 2, 1, 1, 1)"
范丞丞小鬼正骨太好笑了,11364,导语：《我要这样生活》被范丞丞和小鬼王琳凯正骨这段笑死了！,"[8, 3, 2]",4999,"(8, 3, 2, 1, 7, 6, 10, 4, 0, 18, 9, 12, 13, 20, 21, 17, 5, 14, 22, 15, 23, 16)","(5510, 797, 140, 79, 56, 37, 28, 21, 17, 12, 9, 8, 5, 5, 4, 3, 2, 2, 1, 1, 1, 1)"
法国文化部长确诊感染新冠肺炎,8685,导语：法国当地时间3月9日晚间报道，法国文化部长弗兰克·里斯特（Franck Riester）确诊感染新冠肺炎。,"[2, 4, 9]",5000,"(2, 4, 9, 18, 0, 15, 3, 5, 11, 13, 12, 10, 21, 1, 14, 23, 17, 16, 8, 19, 7, 6, 20)","(610, 355, 104, 69, 60, 48, 33, 27, 26, 18, 17, 14, 13, 10, 10, 9, 9, 8, 6, 6, 5, 5, 4)"
祁连山野生动物复归,10229,导语：自祁连山生态环境问题整治以来，野生动物种群数量和分布范围扩大。随着人为干扰减少，野生动物显著复归，频繁“巡山”。,"[7, 0, 5]",5001,"(7, 0, 5, 2, 8, 16, 4, 3, 13)","(111, 52, 29, 8, 2, 2, 1, 1, 1)"
伊朗高官透露客机被击中细节,1895,导语：伊朗伊斯兰革命卫队航空航天部队司令哈吉扎德表示：“我们对这件事负全部责任。”他说，客机被导弹系统操作员误认为是巡航导弹。操作员本应向上级汇报，但似乎通讯出现问题，他有10秒时间决定是否发射导弹，但他做了错误的决定。,"[2, 12, 10]",5002,"(2, 12, 10, 6, 5, 13, 11, 22, 0, 18, 23, 4, 3, 21, 1, 19)","(32, 18, 12, 11, 8, 8, 6, 5, 4, 3, 3, 2, 1, 1, 1, 1)"
单眼皮女生可以有多好看,3080,导语：单眼皮女生可以有多好看？单眼皮姐妹发自拍来参与吧，转评赞总和≥5可以入围大赛获取更多点赞～,"[11, 1, 2]",5003,"(11, 1, 2, 7, 3, 20, 16, 19, 18, 22, 4, 9, 6, 5, 8, 0, 17, 23, 10, 14, 12, 21, 13, 15)","(1200, 626, 535, 424, 163, 111, 89, 87, 84, 68, 64, 48, 42, 36, 33, 30, 21, 18, 16, 15, 14, 13, 11, 1)"
郑爽机场造型,12436,导语：郑爽酷帅机场造型，期待郑爽有更多的作品和更好的表现～欢迎大家投稿！,"[17, 1, 7]",5004,"(17, 7, 1, 0, 3, 10, 4, 2, 6, 5, 9, 8, 19, 13, 18, 22, 16, 14, 20, 11, 21, 12, 23, 15)","(7145, 3824, 1365, 1023, 62, 44, 43, 30, 29, 29, 15, 13, 12, 11, 8, 6, 6, 5, 5, 4, 4, 4, 4, 2)"
舒兰市全面进入战时状态,11154,导语：近期，舒兰市出现了13例本土确诊病例，打破了全省73天无本土新增病例的持续向好局面。下一步，按照高等级风险防控要求，全面进入战时状态，采取最严格的管控措施，全力以赴做好疫情防控工作。疫情防控期间，全市所有诊所、零售药店一律停止销售治疗发热类药品，诊所不接诊发热病人。,"[15, 4, 12]",5005,"(15, 4, 12, 5, 0, 3, 1, 18, 11, 2, 14, 13, 10, 16, 22, 23, 9, 7, 20, 8, 19, 17, 6, 21)","(1257, 537, 355, 292, 82, 77, 62, 48, 47, 37, 35, 25, 21, 17, 16, 16, 14, 14, 13, 10, 8, 8, 5, 3)"
江映蓉李艺彤红昭愿,8410,导语：每周六20:30《天赐的声音》。声音凝聚力量，音乐抚慰心灵。,"[0, 1, 7]",5006,"(0, 1, 7, 5, 4, 6, 11, 10, 9, 17, 2, 22, 3, 21, 18, 12, 16, 20, 8, 15, 19, 13, 14)","(3472, 1200, 232, 96, 86, 41, 22, 21, 13, 11, 8, 8, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1)"
小学生记错开学时间独自上学,5114,导语：4月20日，陕西安康，城区鼓楼小学校门口，一个三年级小朋友独自来到学校报到。在得知是4、5、6年级开学复课后，他遗憾地离开了。记者看见他并未佩戴口罩，便买了口罩给他戴上。交流中记者得知男孩父亲是盲人，妈妈又在外地打工，自己便搞错了时间。,"[4, 0, 12]",5007,"(4, 0, 12, 17, 2, 3, 5, 8, 14, 6, 21, 16, 11, 1, 10)","(4758, 325, 204, 63, 48, 44, 28, 14, 14, 11, 8, 5, 1, 1, 1)"
福建莆田一村庄24例聚集性疫情,10264,导语：12日下午，福建省莆田市副市长胡国防在发布会上通报了金川村聚集性疫情情况。,"[6, 4, 12]",5008,"(6, 4, 12, 3, 18, 16, 1, 21, 19, 15, 8, 13, 20, 10, 11, 9, 14, 0, 2, 7, 22, 23)","(879, 264, 42, 38, 29, 29, 27, 22, 20, 19, 14, 13, 13, 8, 5, 5, 5, 4, 3, 1, 1, 1)"
李现霸道总裁文案,7664,导语：总裁现绿洲上线！！期待在绿洲看到更多现男友的不同面！！,"[7, 2, 0]",5009,"(7, 2, 0, 3, 1, 8, 13, 17, 20, 11, 10, 6, 5, 9, 18, 15, 14, 4, 16, 21, 22, 19, 12)","(4226, 318, 317, 153, 115, 99, 29, 27, 19, 18, 18, 17, 9, 6, 5, 5, 5, 4, 3, 1, 1, 1, 1)"
我国14城人均GDP超2万美元,6423,导语：2019年中国内地人均GDP超过2万美元的城市达14个，跨过发达经济体的门槛。深圳、无锡、苏州位居前三，北上广位列前十。此外，长沙、佛山为“准发达经济体”，即将跨线。,"[12, 5, 1]",5010,"(12, 5, 1, 6, 19, 20, 14, 11, 21, 2, 10, 9, 17, 22, 3, 16, 7, 13, 8, 18, 4)","(267, 122, 76, 49, 36, 21, 19, 18, 16, 13, 9, 8, 8, 7, 6, 5, 3, 3, 2, 1, 1)"
9岁女孩儿到派出所自首,443,导语：带话题，发微博，分享你见过的最好的教育方式吧！！！,"[5, 8, 3]",5011,"(5, 8, 3, 1, 0, 6, 2, 7, 9, 17, 4, 12, 20, 11, 19, 14, 15, 10, 18, 21, 22, 13, 23, 16)","(4382, 1182, 367, 149, 61, 37, 22, 18, 15, 12, 11, 11, 9, 7, 7, 7, 5, 5, 4, 4, 4, 4, 4, 4)"
阿根廷足协许诺赠送援鄂护士梅西球衣,12848,导语：战斗在抗疫一线，湖南援鄂护士吴宇面对镜头希望“让梅西送儿子件球衣。阿根廷足协回复表示：“我们给你送上一件阿根廷国家队的十号梅西球衣，希望您的儿子穿上偶像战袍之后，未来人生更加勇敢！”,"[0, 14, 20]",5012,"(0, 14, 20, 17, 1, 2, 22, 5, 11, 4, 16, 8, 13)","(302, 23, 19, 17, 16, 12, 8, 8, 6, 3, 2, 1, 1)"
09年和19年妆容对比,6,导语：快来晒出你十年前的妆容对比照片吧，转评赞≥5即可入围哦～,"[3, 2, 8]",5013,"(3, 2, 8, 0, 6, 12, 17, 18, 13, 4, 20, 19, 16, 11, 9, 1, 23, 14, 7, 5, 21, 22, 10)","(116, 73, 37, 34, 9, 9, 9, 8, 8, 7, 7, 6, 5, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1)"
重庆跳楼砸死路人男子家属未露面,12553,导语：12月24日，重庆沙坪坝，男子坠楼砸中2名过路女生，三人均身亡。据警方通报，男子李某系自杀。然而事发已过4日，该事件善后工作仍处于停滞状态。坠楼男子家属至今未露面，遇害女生家属也未设灵堂处理后事。,"[6, 10, 1]",5014,"(6, 10, 1, 11, 4, 3, 0, 12, 5, 19, 16, 8, 9, 7, 17, 22, 14, 18, 23, 15, 21, 13, 20, 2)","(3863, 291, 83, 45, 42, 26, 26, 26, 20, 18, 16, 15, 13, 12, 12, 11, 11, 10, 10, 7, 6, 6, 5, 1)"
流浪猫每天陪武警站岗,8760,导语：甘肃静宁，武警甘肃总队平凉支队静宁中队的门口，一只流浪猫每天早上都来打卡，等哨兵一起站岗，还会整理自己仪容。中队工作人员称，这只猫有时一蹲就好几个小时，战士们对它也很好。网友：风里雨里，岗亭上陪你。,"[0, 7, 17]",5015,"(0, 7, 17, 2, 8, 13, 9, 4, 3, 21, 6, 10, 23, 11, 15, 20)","(3555, 247, 60, 37, 35, 22, 8, 8, 8, 8, 7, 7, 7, 1, 1, 1)"
戴口罩专用发型,6495,导语：原来口罩还可以这样戴，带话题发微博来和大家一起聊聊吧！,"[0, 1, 8]",5016,"(0, 1, 8, 3, 2, 6, 5, 7, 9, 19, 10, 15, 18, 4, 22, 20, 11, 21, 12, 16, 14, 17, 13, 23)","(2701, 1671, 643, 277, 247, 114, 62, 59, 44, 26, 12, 11, 8, 7, 7, 7, 6, 4, 4, 3, 3, 3, 2, 2)"
孙杨给杭州防疫站民警点外卖,4731,导语：2月4日晚，民警们在浙江杭州高速防疫检查站执勤。一辆白色轿车驶入检查站停下，车内男子说：“你好，我是孙杨，我点了外卖送你们，你们最近辛苦了。”21时许，外卖小哥送来@孙杨 点的外卖，8箱牛奶和8箱方便面和8箱粥。,"[5, 0, 14]",5017,"(5, 0, 14, 1, 17, 13, 4, 6, 18, 2, 11, 23, 20, 7, 9, 12, 8, 19, 3, 21, 22, 10, 16)","(4520, 615, 155, 66, 48, 35, 26, 26, 17, 13, 11, 11, 11, 10, 9, 9, 8, 7, 3, 3, 3, 3, 2)"
天天向上素人改造,4266,导语：平凡的劳动者装点城市，年关将至、《天天向上》为劳动者化妆❤️你们辛苦了。,"[0, 1, 14]",5018,"(0, 1, 14, 8, 5, 7, 9, 4, 10, 3, 23, 2, 18, 17, 6, 13, 22, 19, 20, 11, 16, 21)","(3002, 87, 71, 53, 44, 31, 29, 24, 18, 13, 13, 10, 9, 9, 8, 6, 5, 5, 5, 4, 4, 3)"
小区封闭男子将头钻出围栏理发,5090,导语：湖北黄石一小区进行封闭管理，用围栏围了起来。一男子跪地将头伸出围栏底部空隙外，让围栏对面的另一个男子给其理发，该视频在黄石朋友圈内迅速走红。拍摄者称：“这可以载入史册了”。,"[8, 3, 2]",5019,"(8, 3, 2, 1, 4, 13, 16, 14, 7, 18, 22, 5, 12, 19, 6, 23, 17, 10, 0, 9, 21)","(675, 291, 110, 21, 19, 9, 9, 9, 8, 7, 7, 7, 7, 6, 6, 6, 6, 5, 3, 2, 1)"
急救中心司机穿尿不湿接患者,6135,导语：杭州急救中心的驾驶员胡大鹏，大年初一从山东老家开13小时的车返杭，负责接疑似和确诊新冠肺炎患者。,"[5, 0, 4]",5020,"(5, 0, 4, 22, 20, 8, 10, 13, 16, 12)","(221, 60, 30, 9, 9, 5, 3, 3, 2, 1)"
诺奖最年长得主坐轮椅领奖,11893,导语：2月10日，2019年诺贝尔奖颁奖典礼在瑞典举行。化学奖得主之一的约翰·古迪纳夫，是最年长的诺贝尔奖获得者。他为现代锂电池做出先驱性贡献，被业界称为“锂电池之父”。即使97岁高龄，他仍然奋斗在科研一线。,"[5, 0, 6]",5021,"(5, 0, 6, 18, 22, 14, 3, 19, 10, 16, 8, 4, 21, 13, 20)","(75, 15, 5, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)"
广州房地产租赁协会倡议减租,5512,导语：1月30日，广州市房地产租赁协会发布《致全市业主（房东）的减租倡议书》，建议广州市业主（房东）对受疫情影响最大的2月（2020年2月1日-2月29日）实行免租一个月，3月1日-4月30日租金减半两个月。,"[6, 1, 14]",5022,"(6, 1, 14, 2, 13, 5, 0, 11, 3, 8, 17, 9, 4, 19, 16, 22, 15, 10)","(1278, 219, 136, 32, 28, 18, 18, 16, 15, 6, 6, 4, 3, 3, 2, 1, 1, 1)"
周星驰给前线医疗队加油,3569,导语：#周星驰给前线医疗队加油#周星驰为到达武汉的第一批医疗队四川医疗队打气，“看到你们为挽救生命全副武装的紧箍咒，你们是我心中的盖世英雄，请让我亲你们一下，mua！你们一定要平安归来！加油！”,"[5, 0, 14]",5023,"(5, 0, 14, 4, 10, 17, 16, 1, 20, 7, 22, 12, 23, 8, 2, 6, 13)","(787, 193, 60, 50, 13, 13, 10, 7, 5, 3, 3, 2, 2, 1, 1, 1, 1)"
一张试卷50多个段子,858,导语：“考试范围是星辰大海”、“时间来不及了，那算了没42题了，大家交卷吧”…近日，浙江杭州某高中一份物理试卷走红。试卷共有41题，段子却有50多个。,"[8, 3, 2]",5024,"(8, 3, 2, 21, 1, 7, 16, 6, 14, 22, 5, 13, 23, 18, 12, 17, 0, 10)","(474, 201, 72, 52, 43, 24, 22, 18, 18, 15, 12, 7, 5, 4, 3, 2, 1, 1)"
